order,question_id,dataset_video_id,video_id,stratum,filename,source_url,local_target,in_uploaded_zip
"31","893-1","893","WQn-c_4dVWs","long","WQn-c_4dVWs.mp4","https://www.youtube.com/watch?v=WQn-c_4dVWs","data/videos/video_mme/WQn-c_4dVWs.mp4","false"
"32","321-2","321","7Hk9jct2ozY","medium","7Hk9jct2ozY.mp4","https://www.youtube.com/watch?v=7Hk9jct2ozY","data/videos/video_mme/7Hk9jct2ozY.mp4","false"
"33","736-2","736","-y1U0qk1vDs","long","-y1U0qk1vDs.mp4","https://www.youtube.com/watch?v=-y1U0qk1vDs","data/videos/video_mme/-y1U0qk1vDs.mp4","false"
"34","103-1","103","G267g0DpCVg","short","G267g0DpCVg.mp4","https://www.youtube.com/watch?v=G267g0DpCVg","data/videos/video_mme/G267g0DpCVg.mp4","false"
"35","716-1","716","B9He5DVePvk","long","B9He5DVePvk.mp4","https://www.youtube.com/watch?v=B9He5DVePvk","data/videos/video_mme/B9He5DVePvk.mp4","false"
"36","022-2","022","n3IYmdy6d4Y","short","n3IYmdy6d4Y.mp4","https://www.youtube.com/watch?v=n3IYmdy6d4Y","data/videos/video_mme/n3IYmdy6d4Y.mp4","true"
"37","842-3","842","CKYw_RG7i7w","long","CKYw_RG7i7w.mp4","https://www.youtube.com/watch?v=CKYw_RG7i7w","data/videos/video_mme/CKYw_RG7i7w.mp4","false"
"38","316-3","316","IaTaaNinolU","medium","IaTaaNinolU.mp4","https://www.youtube.com/watch?v=IaTaaNinolU","data/videos/video_mme/IaTaaNinolU.mp4","false"
"39","693-1","693","dXUXfyiX2lA","long","dXUXfyiX2lA.mp4","https://www.youtube.com/watch?v=dXUXfyiX2lA","data/videos/video_mme/dXUXfyiX2lA.mp4","false"
"40","115-2","115","W86cTIoMv2U","short","W86cTIoMv2U.mp4","https://www.youtube.com/watch?v=W86cTIoMv2U","data/videos/video_mme/W86cTIoMv2U.mp4","false"
"41","870-1","870","Fibq4aA-GVc","long","Fibq4aA-GVc.mp4","https://www.youtube.com/watch?v=Fibq4aA-GVc","data/videos/video_mme/Fibq4aA-GVc.mp4","false"
"42","260-2","260","3E4Zca1p64s","short","3E4Zca1p64s.mp4","https://www.youtube.com/watch?v=3E4Zca1p64s","data/videos/video_mme/3E4Zca1p64s.mp4","false"
"43","204-3","204","pcm_E7UoKLo","short","pcm_E7UoKLo.mp4","https://www.youtube.com/watch?v=pcm_E7UoKLo","data/videos/video_mme/pcm_E7UoKLo.mp4","false"
"44","691-3","691","lMxFbRc3Luk","long","lMxFbRc3Luk.mp4","https://www.youtube.com/watch?v=lMxFbRc3Luk","data/videos/video_mme/lMxFbRc3Luk.mp4","false"
"45","729-1","729","bBazRZOxl-k","long","bBazRZOxl-k.mp4","https://www.youtube.com/watch?v=bBazRZOxl-k","data/videos/video_mme/bBazRZOxl-k.mp4","false"
"46","597-1","597","5R64pAPUZmk","medium","5R64pAPUZmk.mp4","https://www.youtube.com/watch?v=5R64pAPUZmk","data/videos/video_mme/5R64pAPUZmk.mp4","false"
"47","452-1","452","Xim8-lUZnsA","medium","Xim8-lUZnsA.mp4","https://www.youtube.com/watch?v=Xim8-lUZnsA","data/videos/video_mme/Xim8-lUZnsA.mp4","false"
"48","601-1","601","TGom0uiW130","long","TGom0uiW130.mp4","https://www.youtube.com/watch?v=TGom0uiW130","data/videos/video_mme/TGom0uiW130.mp4","false"
"49","143-2","143","PJHkIJZGwKA","short","PJHkIJZGwKA.mp4","https://www.youtube.com/watch?v=PJHkIJZGwKA","data/videos/video_mme/PJHkIJZGwKA.mp4","false"
"50","001-2","001","fFjv93ACGo8","short","fFjv93ACGo8.mp4","https://www.youtube.com/watch?v=fFjv93ACGo8","data/videos/video_mme/fFjv93ACGo8.mp4","true"
